kind,source_file,source_line,match_text,target_day,target_page,target_page_end,target_file,anchor_present,decision,notes,context
bare-page,content/days/day-05/02-points-7-to-14.qmd,15,page 335,5,335,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"There is considerably more on Day 12 concerning Deming's specific guidance on leadership. However, you should find *DemDim* page 335 more than ample in the current context or, if you're particularl..."
bare-page,content/days/day-05/02-points-7-to-14.qmd,15,pages 333–339,5,333,339,,N,external-work-candidate,external-book candidate (also spans pages 333-339): book-title/author match nearby,"There is considerably more on Day 12 concerning Deming's specific guidance on leadership. However, you should find *DemDim* page 335 more than ample in the current context or, if you're particularl..."
bare-page,content/days/day-05/02-points-7-to-14.qmd,72,page 335,5,335,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"In Point 12 we shall find Dr Deming talking of the value of ""pride of workmanship"" and indeed ""joy in work"" (recently seen in Attribute 3 on *DemDim* page 335). Presumably the only way that they co..."
bare-page,content/days/day-05/02-points-7-to-14.qmd,190,page 59,5,59,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"This Point in particular needs reading beyond the first few words—including to the very end of the first sentence! Dr Deming was pretty scornful of mere ""slogans"" and ""exhortations"" as ways to impr..."
bare-page,content/days/day-05/02-points-7-to-14.qmd,190,pages 68–69,5,68,69,,N,external-work-candidate,external-book candidate (also spans pages 68-69): book-title/author match nearby,"This Point in particular needs reading beyond the first few words—including to the very end of the first sentence! Dr Deming was pretty scornful of mere ""slogans"" and ""exhortations"" as ways to impr..."
bare-page,content/days/day-05/02-points-7-to-14.qmd,251,page 113,5,113,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"Resources are channelled into reaching that number, irrespective of the harm caused elsewhere. Methods of measuring or counting are changed. Definitions are changed. ""Punctual"" is revised from bein..."
bare-page,content/days/day-05/02-points-7-to-14.qmd,251,page 111,5,111,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"Resources are channelled into reaching that number, irrespective of the harm caused elsewhere. Methods of measuring or counting are changed. Definitions are changed. ""Punctual"" is revised from bein..."
bare-page,content/days/day-05/03-the-deadly-diseases.qmd,78,page 84,5,84,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,"With even greater focus than the words I have quoted above, on *Out of the Crisis* page 84[99] Dr Deming expresses this Deadly Disease as ""Emphasis on short-term profits"". Short-term profits (like ..."
bare-page,content/days/day-05/03-the-deadly-diseases.qmd,78,page 85,5,85,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,"With even greater focus than the words I have quoted above, on *Out of the Crisis* page 84[99] Dr Deming expresses this Deadly Disease as ""Emphasis on short-term profits"". Short-term profits (like ..."
bare-page,content/days/day-05/03-the-deadly-diseases.qmd,131,pages 50–51,5,50,51,,N,external-work-candidate,external-book candidate (also spans pages 50-51): book-title/author match nearby,"As you can see from *DemDim* pages 50–51, Dr Deming's opinion of performance appraisal was unambiguously damning. But the term ""performance appraisal"" means different things to different people. So..."
bare-page,content/days/day-05/03-the-deadly-diseases.qmd,190,page 103,5,103,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,Moving around the organisation in order to acquire that broader understanding is clearly good. So what is the fourth Deadly Disease? What Dr Deming is warning us against here is the culture of flit...
bare-page,content/days/day-05/03-the-deadly-diseases.qmd,243,pages 103–105,5,103,105,,N,external-work-candidate,external-book candidate (also spans pages 103-105): bracketed alternate-edition page,"This fifth Deadly Disease can come as a shock even to those who are warming to Deming's teachings—especially if they are statisticians or accountants! So what are these ""most important"" but invisib..."
bare-page,content/days/day-05/03-the-deadly-diseases.qmd,247,pages 104–105,5,104,105,,N,external-work-candidate,external-book candidate (also spans pages 104-105): book-title/author match nearby,"In conclusion, and back to the main issue (from *Out of the Crisis* pages 104–105 [page 123]):"
bare-page,content/days/day-05/03-the-deadly-diseases.qmd,247,page 123,5,123,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"In conclusion, and back to the main issue (from *Out of the Crisis* pages 104–105 [page 123]):"
bare-page,content/days/day-06/02-gallery-furniture.qmd,30,page 64,6,64,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,"After you have read Mack's account, I shall ask you to carry out a similar exercise with what you then know about Gallery as you have just done in connection with your own organisation in Activity ..."
bare-page,content/days/day-06/04-more-true-stories.qmd,21,pages 62,6,62,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,(from *Out of the Crisis* pages 62--63[72--73])
bare-page,content/days/day-07/01-introduction.qmd,31,page 107,7,107,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,"""The supposition that it is only necessary to meet specifications"" is the 13th in an even longer ""list"" from Dr Deming than the 14 Points: one of ""a whole parade of obstacles"", as he expresses it o..."
bare-page,content/days/day-07/01-introduction.qmd,31,pages 52–55,7,52,55,,N,external-work-candidate,external-book candidate (also spans pages 52-55): book-title/author match nearby,"""The supposition that it is only necessary to meet specifications"" is the 13th in an even longer ""list"" from Dr Deming than the 14 Points: one of ""a whole parade of obstacles"", as he expresses it o..."
bare-page,content/days/day-07/04-many-more-true-stories.qmd,67,page 15,7,15,,,N,anchor-needed,,*[A brief extract from page 15 of the Optional Extras section may be useful here. It states that:*
bare-page,content/days/day-07/04-many-more-true-stories.qmd,76,page 113,7,113,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"**1.** The railway industry in Britain has well-known targets for punctuality, typically defined as no more than ten minutes late (see ""British Rail Redefines Punctuality"", *DemDim* page 113). What..."
bare-page,content/days/day-07/04-many-more-true-stories.qmd,106,page 353,7,353,,,N,anchor-needed,,"*[That reminded me of an observation in Peter Scholtes's* The Leader's Handbook *(page 353): ""The carrot and stick approach was developed for use with jackasses, and its legitimate use is limited t..."
bare-page,content/days/day-07/05-thirteenth-obstacle.qmd,115,page 173,7,173,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,Just about everybody gets a graph which looks something like Figure 34 on *DemDim* page 173:
bare-page,content/days/day-07/06-taguchi-reflections.qmd,65,page 182,7,182,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"Obviously there is zero loss at the optimum value. But now, supposedly, *everything* inside the specifications is ""acceptable"", ""OK"", whether it's at or near the optimum or not. Everything here is ..."
bare-page,content/days/day-07/06-taguchi-reflections.qmd,70,page 182,7,182,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"What does the difference between the shape of that loss function on *DemDim* page 182 and that of the Taguchi loss function imply? As *DemDim* Chapter 12 demonstrates, a very great deal! Two of the..."
bare-page,content/days/day-07/06-taguchi-reflections.qmd,82,page 182,7,182,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"&nbsp;&nbsp;&nbsp;&nbsp; *""Conformance to specifications"" loss function* (illustrated on *DemDim* page 182):"
bare-page,content/days/day-07/06-taguchi-reflections.qmd,122,page 191,7,191,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"A company was having trouble with a cutting operation for metal rods, etc—or, rather, its customers were having trouble! The cutting process had been designed to ensure 100% conformance to specific..."
bare-page,content/days/day-07/06-taguchi-reflections.qmd,126,page 190,7,190,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"I'll leave you to read the details if you want. In brief, the design of the cutting operation had been based on the undeniable logic that, if something is cut too short, it's scrap; whereas if it's..."
bare-page,content/days/day-07/06-taguchi-reflections.qmd,130,page 177,7,177,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"To complete the story, I'll refer you to the first complete paragraph on *DemDim* page 177. The obviously-better strategy involved no second cuts (no rework) and a reduction in average Taguchi loss..."
bare-page,content/days/day-07/07-major-activity.qmd,18,pages 52–55,7,52,55,,N,external-work-candidate,external-book candidate (also spans pages 52-55): book-title/author match nearby,"Since my coverage of most of these Obstacles in *DemDim* is very brief, I'll expand a little more on them in the following pages. In each case, read both my sentence or two in *DemDim* (pages 52–55..."
bare-page,content/days/day-07/07-major-activity.qmd,21,page 10,7,10,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"NB As indicated at the bottom of *DemDim* page 10, I think there can be no doubt that, like me, Dr Deming regretted the weakness of the English language in lacking single words for ""he or she"", ""hi..."
bare-page,content/days/day-07/07-major-activity.qmd,34,pages 107–108,7,107,108,,N,external-work-candidate,external-book candidate (also spans pages 107-108): bracketed alternate-edition page,"**1. [Hope for instant pudding.]{.blue-text}** (*Out of the Crisis* pages 107–108[126–127]; [Appendix page 32](../../appendix/06-day-7.qmd#sec-page32).) The ever-lasting search for the ""quick fix""!..."
bare-page,content/days/day-07/07-major-activity.qmd,45,page 108,7,108,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"**2. [The supposition that solving problems, automation, gadgets, and new machinery will transform industry.]{.blue-text}** (*Out of the Crisis* page 108 [pages 127–128]; [Appendix page 32](../../a..."
bare-page,content/days/day-07/07-major-activity.qmd,45,pages 127–128,7,127,128,,N,external-work-candidate,external-book candidate (also spans pages 127-128): book-title/author match nearby,"**2. [The supposition that solving problems, automation, gadgets, and new machinery will transform industry.]{.blue-text}** (*Out of the Crisis* page 108 [pages 127–128]; [Appendix page 32](../../a..."
bare-page,content/days/day-07/07-major-activity.qmd,56,pages 109–110,7,109,110,,N,external-work-candidate,external-book candidate (also spans pages 109-110): bracketed alternate-edition page,"**3. [Search for examples.]{.blue-text}** (*Out of the Crisis* pages 109–110[128–129]; [Appendix pages 32–33](../../appendix/06-day-7.qmd#sec-page32).) A large topic, the subject of *DemDim* Chapte..."
bare-page,content/days/day-07/07-major-activity.qmd,56,pages 275–276,7,275,276,,N,external-work-candidate,external-book candidate (also spans pages 275-276): book-title/author match nearby,"**3. [Search for examples.]{.blue-text}** (*Out of the Crisis* pages 109–110[128–129]; [Appendix pages 32–33](../../appendix/06-day-7.qmd#sec-page32).) A large topic, the subject of *DemDim* Chapte..."
bare-page,content/days/day-07/07-major-activity.qmd,65,page 110,7,110,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,"**4. [""Our problems are different.""]{.blue-text}** (*Out of the Crisis* page 110[130]; [Appendix page 33](../../appendix/06-day-7.qmd#sec-page33).) This is one of the most common excuses by manager..."
bare-page,content/days/day-07/07-major-activity.qmd,76,pages 110–111,7,110,111,,N,external-work-candidate,external-book candidate (also spans pages 110-111): bracketed alternate-edition page,**5. [Obsolescence in Schools [i.e. Schools of Business].]{.blue-text}** (*Out of the Crisis* pages 110–111[130–131]; [Appendix page 33](../../appendix/06-day-7.qmd#sec-page33).) On *Out of the Cri...
bare-page,content/days/day-07/07-major-activity.qmd,76,page 110,7,110,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,**5. [Obsolescence in Schools [i.e. Schools of Business].]{.blue-text}** (*Out of the Crisis* pages 110–111[130–131]; [Appendix page 33](../../appendix/06-day-7.qmd#sec-page33).) On *Out of the Cri...
bare-page,content/days/day-07/07-major-activity.qmd,87,pages 111–113,7,111,113,,N,external-work-candidate,external-book candidate (also spans pages 111-113): bracketed alternate-edition page,**6. [Poor teaching of statistical methods in industry.]{.blue-text}** (*Out of the Crisis* pages 111–113[131–133]; [Appendix pages 33–34](../../appendix/06-day-7.qmd#sec-page33).) A basic problem ...
bare-page,content/days/day-07/07-major-activity.qmd,98,page 113,7,113,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,**7. [Use of [Military Standard 105D and other] tables for acceptance.]{.blue-text}** (*Out of the Crisis* page 113[133]; [Appendix page 34](../../appendix/06-day-7.qmd#sec-page34).) This alludes t...
bare-page,content/days/day-07/07-major-activity.qmd,107,pages 113–114,7,113,114,,N,external-work-candidate,external-book candidate (also spans pages 113-114): bracketed alternate-edition page,"**8. [""Our Quality Control Department takes care of all our problems of quality.""]{.blue-text}** (*Out of the Crisis* pages 113–114[133–134]; [Appendix page 34](../../appendix/06-day-7.qmd#sec-page..."
bare-page,content/days/day-07/07-major-activity.qmd,118,pages 114–115,7,114,115,,N,external-work-candidate,external-book candidate (also spans pages 114-115): bracketed alternate-edition page,"**9. [""Our troubles lie entirely in the workforce.""]{.blue-text}** (*Out of the Crisis* pages 114–115[134–135]; [Appendix pages 34–35](../../appendix/06-day-7.qmd#sec-page34).) Same comment as with..."
bare-page,content/days/day-07/07-major-activity.qmd,127,pages 115–117,7,115,117,,N,external-work-candidate,external-book candidate (also spans pages 115-117): bracketed alternate-edition page,**10. [False starts.]{.blue-text}** (*Out of the Crisis* pages 115–117[135–138]; [Appendix page 35](../../appendix/06-day-7.qmd#sec-page35).) Just think back over the years in your organisation. Ho...
bare-page,content/days/day-07/07-major-activity.qmd,138,page 117,7,117,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"**11. [""We installed quality control.""]{.blue-text}** (*Out of the Crisis* page 117 [pages 138–139]; [Appendix page 35](../../appendix/06-day-7.qmd#sec-page35).) As with Obstacle 2, quality cannot ..."
bare-page,content/days/day-07/07-major-activity.qmd,138,pages 138–139,7,138,139,,N,external-work-candidate,external-book candidate (also spans pages 138-139): book-title/author match nearby,"**11. [""We installed quality control.""]{.blue-text}** (*Out of the Crisis* page 117 [pages 138–139]; [Appendix page 35](../../appendix/06-day-7.qmd#sec-page35).) As with Obstacle 2, quality cannot ..."
bare-page,content/days/day-07/07-major-activity.qmd,147,page 118,7,118,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,**12. [The unmanned computer.]{.blue-text}** (*Out of the Crisis* page 118[139]; [Appendix page 35](../../appendix/06-day-7.qmd#sec-page35).) With the great changes in computer technology since the...
bare-page,content/days/day-07/07-major-activity.qmd,158,pages 118–119,7,118,119,,N,external-work-candidate,external-book candidate (also spans pages 118-119): bracketed alternate-edition page,**13. [The supposition that it is only necessary to meet specifications.]{.blue-text}** (*Out of the Crisis* pages 118–119[139–141]; [Appendix page 36](../../appendix/06-day-7.qmd#sec-page36).) Aft...
bare-page,content/days/day-07/07-major-activity.qmd,167,pages 119–120,7,119,120,,N,external-work-candidate,external-book candidate (also spans pages 119-120): bracketed alternate-edition page,"**14. [The fallacy of zero defects.]{.blue-text}** (*Out of the Crisis* pages 119–120[141–142]; [Appendix page 36](../../appendix/06-day-7.qmd#sec-page36).) With ""defect"" = ""outside specifications""..."
bare-page,content/days/day-07/07-major-activity.qmd,178,pages 120–121,7,120,121,,N,external-work-candidate,external-book candidate (also spans pages 120-121): bracketed alternate-edition page,**15. [Inadequate testing of prototypes.]{.blue-text}** (*Out of the Crisis* pages 120–121[142–143]; [Appendix pages 36–37](../../appendix/06-day-7.qmd#sec-page36).) Prototypes are usually tested i...
bare-page,content/days/day-07/07-major-activity.qmd,187,page 121,7,121,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,"**16. [""Anyone that comes to try to help us must understand all about our business.""]{.blue-text}** (*Out of the Crisis* page 121[143]; [Appendix page 37](../../appendix/06-day-7.qmd#sec-page37).) ..."
bare-page,content/days/day-07/07-major-activity.qmd,187,page 39,7,39,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,"**16. [""Anyone that comes to try to help us must understand all about our business.""]{.blue-text}** (*Out of the Crisis* page 121[143]; [Appendix page 37](../../appendix/06-day-7.qmd#sec-page37).) ..."
bare-page,content/days/day-08/01-introduction.qmd,45,pages 195–196,8,195,196,,N,external-work-candidate,external-book candidate (also spans pages 195-196): book-title/author match nearby,- **read the introduction to Part 3 of *DemDim* (pages 195–196).**
bare-page,content/days/day-08/01-introduction.qmd,51,page 232,8,232,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"The fourth part is today's Major Activity, and this very much follows the lines of the ""Example: Huge financial advantages of cooperation"" which occupies the final pages of *DemDim* Chapter 15, beg..."
bare-page,content/days/day-08/01-introduction.qmd,55,page 232,8,232,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"*DemDim* Chapters 13 and 14 are quite short—only six and ten pages respectively. Chapter 15 is quite a lot longer, and so I have allocated extra time for the reading there. Further, it makes sense ..."
bare-page,content/days/day-08/01-introduction.qmd,59,page 104,8,104,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,"1. The ""Huge financial advantages"" in the title of the *DemDim* illustration most certainly include some of Lloyd Nelson's ""unknowable"" or ""invisible"" figures. *On Out of the Crisis* page 104[121] ..."
bare-page,content/days/day-08/02-joy-in-work.qmd,9,pages 197–202,8,197,202,,N,external-work-candidate,external-book candidate (also spans pages 197-202): book-title/author match nearby,"So now please **read *DemDim* Chapter 13 (pages 197–202): ""Joy in Work""**."
bare-page,content/days/day-08/03-innovation.qmd,9,pages 203–212,8,203,212,,N,external-work-candidate,external-book candidate (also spans pages 203-212): book-title/author match nearby,"Next please **read *DemDim* Chapter 14 (pages 203–212): ""Innovation—not just Improvement""**."
bare-page,content/days/day-08/04-cooperation.qmd,9,pages 213–231,8,213,231,,N,external-work-candidate,external-book candidate (also spans pages 213-231): book-title/author match nearby,"Now please **read pages 213–231 of *DemDim* Chapter 15: ""Cooperation: Win-Win—Backbone of the New Philosophy""**. As mentioned earlier, the final pages of this chapter particularly relate to today's..."
bare-page,content/days/day-08/05-introduction-to-the-major-activity.qmd,11,pages 57–60,8,57,60,,N,external-work-candidate,external-book candidate (also spans pages 57-60): bracketed alternate-edition page,"Instead however, as described earlier, the Major Activity here is based on the idea of the exercise which occupies the final nine pages of *DemDim* Chapter 15. This exercise has rather a good pedig..."
bare-page,content/days/day-08/05-introduction-to-the-major-activity.qmd,15,page 232,8,232,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"Before you spot them, I will confess to a couple of silly errors. Near the bottom of *DemDim* page 232 I should have stated the year 1988 rather than 1987, and ""education"" would have been more appr..."
bare-page,content/days/day-08/05-introduction-to-the-major-activity.qmd,15,page 239,8,239,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"Before you spot them, I will confess to a couple of silly errors. Near the bottom of *DemDim* page 232 I should have stated the year 1988 rather than 1987, and ""education"" would have been more appr..."
bare-page,content/days/day-08/05-introduction-to-the-major-activity.qmd,21,pages 232–240,8,232,240,,N,external-work-candidate,external-book candidate (also spans pages 232-240): book-title/author match nearby,"As an introduction to the Activity, please now **read the final section of *DemDim* Chapter 15 (pages 232–240)**. Read it reasonably carefully in order to get the general idea. But you do not need ..."
bare-page,content/days/day-08/05-introduction-to-the-major-activity.qmd,39,pages 57–58,8,57,58,,N,external-work-candidate,external-book candidate (also spans pages 57-58): bracketed alternate-edition page,The very first paragraph in the final section of *DemDim* Chapter 15 that I asked you to read just before the lunch-break is so important that Dr Deming reproduced it virtually word-for-word when i...
bare-page,content/days/day-08/05-introduction-to-the-major-activity.qmd,45,page 238,8,238,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,Let's recall the main points of what you will have seen in that section from *DemDim*: a story essentially told by the succession of tables in Figures 43–48. In the way that the tables are laid out...
bare-page,content/days/day-08/05-introduction-to-the-major-activity.qmd,94,page 232,8,232,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,The left-hand column in these tables is relatively wide in order to leave room for you to describe the options that you choose during the Major Activity. Here the options are simply denoted by *a1*...
bare-page,content/days/day-08/05-introduction-to-the-major-activity.qmd,94,page 58,8,58,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,The left-hand column in these tables is relatively wide in order to leave room for you to describe the options that you choose during the Major Activity. Here the options are simply denoted by *a1*...
bare-page,content/days/day-08/05-introduction-to-the-major-activity.qmd,99,pages 235–236,8,235,236,,N,external-work-candidate,external-book candidate (also spans pages 235-236): book-title/author match nearby,Table Two below reflects the beginning of the second phase in which the effects of the options on *all three areas* are now brought into consideration. (On *DemDim* pages 235–236 this change to Tab...
bare-page,content/days/day-08/05-introduction-to-the-major-activity.qmd,124,page 238,8,238,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"In Table Four we see that there were altogether seven such new options under consideration; all of these therefore had a − in the area which was able to adopt it. In *five* of these cases, both of ..."
bare-page,content/days/day-08/06-major-activity.qmd,171,page 232,8,232,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"In case it is not already obvious, take a little time to think about that phrase ""Huge Financial Advantages"" in the title of this exercise on *DemDim* page 232. I'll give you a couple of pointers. ..."
bare-page,content/days/day-09/02-a-system.qmd,23,page 3,9,3,,content/days/day-09/02-a-system.qmd,Y,external-work-candidate,external-book candidate: bracketed alternate-edition page,"Why did it finish up there there? Simply because at the time of writing *DemDim* (1989–90), although realising the topic was important, I had not realised how *overwhelmingly* important it is. I sh..."
bare-page,content/days/day-09/02-a-system.qmd,44,page 41,9,41,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,"Yes, he did. If you read *The New Economics* page 41[57] then you'll be left in no doubt. There you will find a section headed with the question: [""What ignited Japan?""]{.deming_quote}. The section..."
bare-page,content/days/day-09/02-a-system.qmd,52,page 3,9,3,,content/days/day-09/02-a-system.qmd,Y,external-work-candidate,external-book candidate: bracketed alternate-edition page,"That extract is versed in the context of production. Indeed, Dr Deming's own title for the flow diagram on *Out of the Crisis* page 3[4] was [""Production Viewed as a System""]{.deming_quote}. I pref..."
bare-page,content/days/day-09/02-a-system.qmd,60,page 45,9,45,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"And who could doubt that that was true of his thoughts on ""Production (or The Organisation) Viewed as a System"" after seeing the diagram alongside? This is reproduced from page 45 of Shewhart's 193..."
bare-page,content/days/day-09/02-a-system.qmd,137,page 44,9,44,,,N,anchor-needed,,"But I'd like to quote a couple of extracts from his discussion on the ""Old"" and the ""New"" Ways whose message soon becomes crystal-clear. On page 44 of his 1939 book he expresses these thoughts in t..."
bare-page,content/days/day-09/02-a-system.qmd,157,pages 154–155,9,154,155,,N,external-work-candidate,external-book candidate (also spans pages 154-155): bracketed alternate-edition page,"After referencing Shewhart's work just described, on *Out of the Crisis* pages 154–155[180–181] Dr Deming then goes on in his Figure 9 to reproduce the same concepts with some different words: simp..."
bare-page,content/days/day-09/02-a-system.qmd,174,page 45,9,45,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"What better and simpler way could there be of depicting the cumulative and multiplying effects of genuine improvements and the resulting increases in knowledge, understanding and ability? And even ..."
bare-page,content/days/day-09/02-a-system.qmd,178,page 154,9,154,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,"For further emphasis, Deming then reiterates the point just made (*Out of the Crisis* page 154[181]):"
bare-page,content/days/day-09/02-a-system.qmd,182,page 33,9,33,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"And where do we find ourselves? Surely we are back yet again at the Deming Chain Reaction (*DemDim* page 33). Further, that development of the ""helix"" leads directly to what Deming (unlike others) ..."
bare-page,content/days/day-09/03-activity-9c-and-organisation-charts.qmd,36,page 133,9,133,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"An organisation chart! How the organisation *should* be organised! As opposed to what? Well, I think you may agree that there is some rather neat implicit teaching in Dr Deming's innocent (?) use o..."
bare-page,content/days/day-09/03-activity-9c-and-organisation-charts.qmd,38,page 3,9,3,,content/days/day-09/02-a-system.qmd,Y,external-work-candidate,external-book candidate: book-title/author match nearby,"So what? One way of answering that question is to relate something further that I learned from Peter Scholtes; and (not by coincidence, I suggest) this is ""up-front"" in his excellent book: *The Lea..."
bare-page,content/days/day-09/03-activity-9c-and-organisation-charts.qmd,80,page 124,9,124,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"Having established a ""macro"" flow diagram for the organisation (or whatever system is being studied), it may then be useful to develop other diagrams and charts which have a little more detail both..."
bare-page,content/days/day-09/03-activity-9c-and-organisation-charts.qmd,80,page 10,9,10,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"Having established a ""macro"" flow diagram for the organisation (or whatever system is being studied), it may then be useful to develop other diagrams and charts which have a little more detail both..."
bare-page,content/days/day-09/04-major-activity.qmd,18,pages 3–20,9,3,20,content/days/day-09/02-a-system.qmd,Y,external-work-candidate,external-book candidate (also spans pages 3-20): book-title/author match nearby,"By ""this paper"" Deming was referring to the May 1990 version of the System of Profound Knowledge whose full text is reproduced between the final pages of today's material and the end of Day 11. Tha..."
bare-page,content/days/day-09/04-major-activity.qmd,18,page 31,9,31,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"By ""this paper"" Deming was referring to the May 1990 version of the System of Profound Knowledge whose full text is reproduced between the final pages of today's material and the end of Day 11. Tha..."
bare-page,content/days/day-09/04-major-activity.qmd,22,page 133,9,133,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"**Stage 1.** Therefore first spend a little time beginning to try to construct a system of medical care in the space below, of similar layout to Dr Deming's famous flow diagram and repeatedly refer..."
bare-page,content/days/day-09/05-of-profound-knowledge.qmd,14,page 64,9,64,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,"On [Day 1 page 39](../day-01/11-deming-story.qmd#sec-page39) I described Deming's System of Profound Knowledge as ""his attempt, sometimes with the wisdom of hindsight, to summarise the core, the gu..."
bare-page,content/days/day-09/05-of-profound-knowledge.qmd,18,page 36,9,36,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,"Apart from a similar statement in the Preface and a brief reference to Point 1 on page 36 [51], this is in fact his only mention of the 14 Points *in the whole book*! So Dr Deming was clearly now l..."
bare-page,content/days/day-09/05-of-profound-knowledge.qmd,36,page 259,9,259,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,It will be helpful at this point for you to **read through a short section in *DemDim*: page 259 to two-thirds down page 261.** This will give you some general background and a brief history of the...
bare-page,content/days/day-09/05-of-profound-knowledge.qmd,36,page 261,9,261,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,It will be helpful at this point for you to **read through a short section in *DemDim*: page 259 to two-thirds down page 261.** This will give you some general background and a brief history of the...
bare-page,content/days/day-09/05-of-profound-knowledge.qmd,38,page 261,9,261,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,You may notice that the titles of the four parts of the System of Profound Knowledge as presented on *DemDim* page 261 are slightly different from those that you have just seen here. That is not un...
bare-page,content/days/day-09/05-of-profound-knowledge.qmd,42,page 260,9,260,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,Such is the nature of the System of Profound Knowledge that it is valuable to have more than one source of reference in order to obtain a better-rounded appreciation of its content. The material th...
bare-page,content/days/day-09/05-of-profound-knowledge.qmd,48,page 260,9,260,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"Coincidentally, *DemDim* was first published at about the same time as the May 1990 version of the System of Profound Knowledge. However, as you will have just read on *DemDim* page 260, my Chapter..."
bare-page,content/days/day-09/05-of-profound-knowledge.qmd,72,page 278,9,278,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"There are various possibilities about how to tackle each part of the System of Profound Knowledge respectively over the four half-days. I'll describe some of them to you, to help you decide what is..."
bare-page,content/days/day-09/06-introductions-to-the-system.qmd,31,page 261,9,261,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"Second, we have the short introduction to the System of Profound Knowledge in *DemDim*. Soon after you start reading it, you will recognise that it is not in my own normal style of writing! No, in ..."
bare-page,content/days/day-09/06-introductions-to-the-system.qmd,31,page 264,9,264,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"Second, we have the short introduction to the System of Profound Knowledge in *DemDim*. Soon after you start reading it, you will recognise that it is not in my own normal style of writing! No, in ..."
bare-page,content/days/day-09/06-introductions-to-the-system.qmd,85,page 55,9,55,,,N,anchor-needed,,"[*[*These techniques from ""conventional statistics"" are only appropriate for so-called ""enumerative studies"". What ability do such techniques have to predict, to aid improvement? Are they designed ..."
bare-page,content/days/day-09/07-out-of-hours.qmd,22,pages 39–52,9,39,52,,N,external-work-candidate,external-book candidate (also spans pages 39-52): book-title/author match nearby,"First, for your refresher on the 14 Points and Deadly Diseases, you could of course return to the main reading referenced on Day 4, namely *DemDim* pages 39–52. There is also the whole of Part 5 of..."
