"term_en","fr_rendering","source","frequency","occurrence_types","contexts","decision_needed"
"intrinsic motivation",NA,NA,18,"prose","But instead, let's go more directly to the Points and Deadly Diseases. In Part D you will have seen strong emphasis on matters such as dignity, self-esteem, res | Nevertheless, it could well be possible to see strong links between just this one aspect of Part D (let alone all the rest of it) and the need to adopt all the  | One of the most important reasons that the Japanese became so successful was that they did understand this. They focused on putting the right people in the righ",TRUE
"process data",NA,NA,18,"prose","He was talking about the two obvious kinds of mistakes that can be made when analysing process data: i.e. concluding that a process is in statistical control wh | A useful start is a sentence from : [""If you are uncomfortable with the use of the concept of 'distribution' … , you can simply think in terms of a histogram ha | But beware! If you read Part E of the Optional Extras you will find me referring on page 60 to the famous British statistician, the late Professor George Box, s",TRUE
"Specification Limit",NA,NA,18,"prose","!Control chart showing an in-control process whose distance from the Central Line to either Specification Limit is only about 4.5σ, short of six-sigma quality | The process appears to be in statistical control, but the distance from the Central Line to either Specification Limit is only around 4.5σ rather than the desir | !Control chart showing the same process after improvement: σ has been reduced so the distance from the Central Line to each Specification Limit is now about 6σ",TRUE
"Statistics Tables",NA,NA,18,"prose","*EST*. Abbreviation for my *Elementary Statistics Tables* (see below). | NEAVE, H R, *Elementary Statistics Tables*. George Allen & Unwin (1981), Routledge (2nd edition 2011). | NEAVE, H R, *Statistics Tables for Mathematicians, Engineers, Economists and the Behavioural and Management Sciences*. George Allen & Unwin (1978), Routledge (2",TRUE
"Technical Aids",NA,NA,18,"prose","There was some brief discussion on Day 3 about the length of the baseline in Technical Aids 8 (page 17) and 9 (page 27). In practice, the choice of baseline len | On the other hand, you may of course *wish* to learn a little more or even a lot more about control charts. In that case I’ll mention three possibilities which  | **Stats-level 0**: Don’t even bother with the few Technical Aids on Days 2 and 3. But you *will* be asked to look at some pictures!",TRUE
"The Deming of America",NA,NA,18,"prose","But, since the links with the Joiner Triangle are not quite so all-embracing here as in the first two parts of the System of Profound Knowledge, I'll now make s | *The Deming of America*. Petty Consulting Productions, Cincinnati. | In *The Deming of America* video, he repeated those exact words. This certainly startled Priscilla Petty, his interviewer! Deming then recalled that occasion at",TRUE
"Deadly Disease",NA,NA,17,"prose","This is where Dr Deming saw this Deadly Disease as being its most damaging (*Out of the Crisis* page 103 *[121]*): | As we know, Points 1 and 5 and the first Deadly Disease are concerned with genuine, sustained and sustainable improvement, and that most certainly is what the D | The three items under ""Operational Definitions"" also have some interesting contributions to make. Item 7 is particularly important with reference to Point 9: ""B",TRUE
"expected value",NA,NA,17,"prose","Unfortunately, that notation is an abbreviation for surely one of the biggest misnomers in the whole subject of Statistics! It stands for ""Expectation"" or ""Expe | So, if expected values can be *added* together, perhaps a natural follow-on question is whether they can be straightforwardly *multiplied* together. That's not  | But what about the expected value of the *product* of two random variables? (""Product"" is the jargon for *multiplying* two or more things together.) So is equal",TRUE
"Lower Control",NA,NA,17,"prose","What do we see? All the data are contained between the Lower and Upper Control Limits (LCL and UCL). Even Ernie’s 3, just after the forthcoming performance appr | The upper and lower control limits for the statisticians’ data are UCL = 16.4 and LCL = 0.5. | The upper and lower control limits for the Spaniards’ data are UCL = 20.1 and LCL = 2.4.",TRUE
"mass inspection",NA,NA,17,"prose","Secondly, the more general lesson to learn from the words ""the need for"" in Point 3 is as follows. Although it may be feasible to start work on adopting some of | An Obsession With Quality will surely result in quality being improved way beyond that which needs mass inspection to verify it. Notice again the words ""the nee | ## Point 3. Cease dependence on mass inspection",TRUE
"normal distributions",NA,NA,17,"prose","Actually, it's a little misleading to talk of *""the""* normal distribution: there's a whole *family* of normal distributions. In particular, the ""bell-shape"" can | My great friend Don Wheeler (from whom I've learned so much over the years) told me about a family of probability distributions that was studied by Irving W Bur | Walter Shewhart referred to both types of fluctuations as ""variation"". By a process behaving ""normally"" we mean it has ""normal"" variation. (Incidentally, in cas",TRUE
"Points and Deadly Diseases",NA,NA,17,"prose","So the inevitable conclusion is that just about everything said on Days 4 and 5 as regards links between the Joiner Triangle to the 14 Points and Deadly Disease | But instead, let's go more directly to the Points and Deadly Diseases. In Part D you will have seen strong emphasis on matters such as dignity, self-esteem, res | (If you are not content with your answers here, you might like to return to this Activity after studying some of the 14 Points and Deadly Diseases in the forthc",TRUE
"step procedure",NA,NA,17,"prose","If we think of this in terms of tossing the coins thousands or millions of times, it all looks rather messy! E.g., suppose we look at the situation where we hav | First, you have seen that the final step in the four-step procedure described on pages 19–21 is for you to think about the links between each part of the System | Finally, and particularly important, you will need to thoroughly familiarise yourself in advance with, as it were, the mechanics of the Second Project, i.e. wha",TRUE
"Technical Section",NA,NA,17,"prose","- Introduction - Part A: Using control charts on Funnel Experiment data — an extension of Major Activity 3–h 1. Introduction 2. Rules 1 and 2 of the Funnel *(** | Finally, Part F is a ""Technical Section"" which is likely to be of more interest to mathematically-inclined students: a number of results are verified here that  | So, what are those ""various possibilities"" of what you might do next? The most challenging approach would be to throw you in at the deep end and simply suggest ",TRUE
"time data",NA,NA,17,"prose","- Introduction - Part A: Using control charts on Funnel Experiment data — an extension of Major Activity 3–h 1. Introduction 2. Rules 1 and 2 of the Funnel *(** | > ""When introducing control charts (for one-at-a-time data) to delegates at my seminars, reactions were usually very positive, even from those who started out b | # PART B: A-FEW-AT-A-TIME DATA",TRUE
"Extras section",NA,NA,16,"prose","Regarding the two that are tackled in Part E of the Optional Extras section, there is a message to all of you who have been worrying about normality in connecti | The explanation of the fallacy behind the whole thinking was so beautifully laid out by Henry in that paper that I thought it best for you to read about it in t | *(This note would have been referred to elsewhere as an ""Out-of-hours"" note; however, of course, all of the Optional Extras section is ""out-of-hours""!)*",TRUE
"graph paper",NA,NA,16,"prose","So, what are those ""various possibilities"" of what you might do next? The most challenging approach would be to throw you in at the deep end and simply suggest  | Seeing that you have not drawn the run charts of these data previously, I suggest it would be a good idea for you to develop the charts for Rules 1 and 2 ""live"" | The two pages that follow reproduce the blank graph-paper from the original Optional Extras (pages 6 and 7). Print these pages, or draw on paper alongside the F",TRUE
"New Way",NA,NA,16,"prose","This is a whole new philosophy. It's not just optional add-ons to what we are already doing; it's not the use of a few new tools. At the beginning of the course | **3.** ""On the Melbourne rail system, a bonus is paid for on-time trains. A relatively new company running trains on the system has come up with a new way of me | ### The ""Old Way"" and the ""New Way""",TRUE
"Optional Extras section",NA,NA,16,"prose","Regarding the two that are tackled in Part E of the Optional Extras section, there is a message to all of you who have been worrying about normality in connecti | The explanation of the fallacy behind the whole thinking was so beautifully laid out by Henry in that paper that I thought it best for you to read about it in t | *(This note would have been referred to elsewhere as an ""Out-of-hours"" note; however, of course, all of the Optional Extras section is ""out-of-hours""!)*",TRUE
"case study",NA,NA,15,"prose","> In the case-study that I retold in *ST*, Don Wheeler did once use a baseline of length 4—but that was when there were only four data-points before the process | Regarding the ""serious"" processes, where nobody is ""All-Knowing"", the charts for Process D show my pulse-rate taken at breakfast-time over a period of 24 consec | Moving on to the ""serious"" processes, you may have noticed that my pulse-rates on Chart D1 were rather unhealthily high. Chart D2 shows my pulse-rates for a lat",TRUE
"Deming Prize",NA,NA,15,"prose","KOYANAGI Ken-Ichi, *The Deming Prize*. See under ""Booklets"". | KOYANAGI Ken-Ichi, *The Deming Prize*. Union of Japanese Scientists and Engineers (JUSE), 1960. | So some are forgetting the lessons learned from Dr Deming more than 60 years ago. In 1985, he visited Japan for the annual Deming Prize Ceremony. While there he",TRUE
"parts per million",NA,NA,15,"prose","But beware! If you read Part E of the Optional Extras you will find me referring on page 60 to the famous British statistician, the late Professor George Box, s | Sadly, my enthusiasm was short-lived. First, I soon came across some advisors who were extolling the virtue of ""six-sigma"" quality as being the greater freedom  | First, just a few weeks after initially hearing about ""six-sigma"", I read papers in two journals (which I shall not reference because I don't want you to read t",TRUE
"per million",NA,NA,15,"prose","But beware! If you read Part E of the Optional Extras you will find me referring on page 60 to the famous British statistician, the late Professor George Box, s | Sadly, my enthusiasm was short-lived. First, I soon came across some advisors who were extolling the virtue of ""six-sigma"" quality as being the greater freedom  | First, just a few weeks after initially hearing about ""six-sigma"", I read papers in two journals (which I shall not reference because I don't want you to read t",TRUE
"process average",NA,NA,15,"prose","Actually, it's a little misleading to talk of *""the""* normal distribution: there's a whole *family* of normal distributions. In particular, the ""bell-shape"" can | Then recall the simple example on . I observed that changing the *average* of my process there would be very easy. And, in my experience, it is indeed very ofte | With subgrouped data it is usual to construct not just one but *two* control charts, one for the subgroup *means* (the term introduced in the previous section f",TRUE
"statistical methods",NA,NA,15,"prose","And there’s the difficulty. What kind of “terms and conditions” could possibly be specified that would apply in practice to data from processes of all the kinds | And so I think we now have several reasons to explain the paradox being considered. Why isn’t the control chart in most introductory (or even later) Statistics  | ### 6. Poor teaching of statistical methods in industry.",TRUE
"subject matter",NA,NA,15,"prose","Worse still are examples in education. Children's capabilities are confused with how well they answer the questions in a patterned questionnaire (i.e. a questio | Dr Deming was once asked: ""What is the job of a teacher?"". He replied that a teacher has three obligations to his students: (1) to make them fall in love with t | ## 4. Subject-matter knowledge",TRUE
"Upper Control",NA,NA,15,"prose","What do we see? All the data are contained between the Lower and Upper Control Limits (LCL and UCL). Even Ernie’s 3, just after the forthcoming performance appr | Before considering the details, it would be useful to take a look at part of the rather famous hand-drawn *X̄-R* chart of which we have already seen something a | The tables and notation being included here are extracts from the table of control-chart constants on page 46 of *EST*, my book of *Elementary Statistics Tables",TRUE
"Walter Shewhart",NA,NA,15,"prose","You will recall that this topic of Statistical Thinking was born in the 1920s due to the brilliant insights of Dr Walter Shewhart. He made a discovery about pro | Walter Shewhart referred to both types of fluctuations as ""variation"". By a process behaving ""normally"" we mean it has ""normal"" variation. (Incidentally, in cas | Amongst many profound observations from Walter Shewhart were the following, and they all relate to matters upon which we have already touched:",TRUE
"control charting",NA,NA,14,"prose","- A very long while ago, I used to teach control-charting the “conventional” way, i.e. trying to interpret control limits in terms of probabilities, saying that | Some control-charting computer packages include a picture of a histogram turned through 90° (so that its scale coincides with the control chart's vertical scale | *(all more or less related to control-charting)*",TRUE
"Five Deadly Diseases",NA,NA,14,"prose","Here are some words from the video *Management's Five Deadly Diseases*. If you watched it earlier, I think you will remember them: | *Management's Five Deadly Diseases*. Encyclopaedia Britannica. | *Management's Five Deadly Diseases*:",TRUE
"Leader's Handbook",NA,NA,14,"prose","SCHOLTES P R, *The Leader's Handbook*. McGraw-Hill (1998). | It may be wise at this stage for me to remind you of my warning at the bottom of Appendix page 23 (see also my ""Obsession With Quality"" comment on about the dan | No, you won't. Firstly, Day 12 will hopefully provide much helpful general learning and guidance on how to start moving the theory into practice. But, more impo",TRUE
"Mathematical Statisticians",NA,NA,14,"prose","The subject of Statistics has largely been developed by mathematicians: indeed it is sometimes regarded simply (and wrongly) as merely a branch of Mathematics.  | And there’s the difficulty. What kind of “terms and conditions” could possibly be specified that would apply in practice to data from processes of all the kinds | After that final paragraph, those of you “in the know” will, I think, now begin to understand why “traditional” Mathematical Statisticians have tended to shy aw",TRUE
"radar diagram",NA,NA,14,"prose","| Section | Title | Pages | |---|---|---| | Section 1: | Your radar diagram | pages 2–6 | | Section 2: | Wisdom from Peter Scholtes | pages 7–10 | | Section 3:  | ## Section 1: YOUR RADAR DIAGRAM | Let's see why I asked you to enter those 0--5 ""scores"" of what you saw as the strengths of connections between the System of Profound Knowledge and the 14 Point",TRUE
"Tokai Rika",NA,NA,14,"prose","Before considering the details, it would be useful to take a look at part of the rather famous hand-drawn *X̄-R* chart of which we have already seen something a | !Portion of the Tokai Rika *X̄-R* control chart brought back from Japan in 1982: hand-drawn on grid paper for October–November 1980, with daily subgroups of fou | > ""As the Ford group was touring the Tokai Rika plant, they observed eight production workers 'engaged in active discussion' around this Average and Range Chart",TRUE
"active learning",NA,NA,13,"prose","Why an ""Overture"" rather than an ""Introduction""? Simply because this half-day contains much more than you would expect in a mere introduction to this structured | The 12 Days to Deming Active Learning Course was created by Dr Henry Neave and first launched in 2020. The course has been adapted for the web by me, Lee Durbin | ## Active learning",TRUE
"Deming Library",NA,NA,13,"prose","*The Deming Library*. Films Inc, Chicago. (Contact WEDI or the UK Deming Transformation Forum.) | Worldwide, the W Edwards Deming Institute (WEDI) in America is the obvious initial source. The Institute was founded by Dr Deming just before his death in 1993  | Moving on to American material, the best-known set of relevant videos is *The Deming Library*. At the time of writing (2018) there are 32 titles, most of which ",TRUE
"Don Wheeler",NA,NA,13,"prose","- I changed my mind for two reasons. The first is that eventually I had two excellent and patient teachers: Dr Deming and Dr Don Wheeler. Secondly, I found in p | My great friend Don Wheeler (from whom I've learned so much over the years) told me about a family of probability distributions that was studied by Irving W Bur | ### Wise Words from Dr Don Wheeler",TRUE
"normal curve",NA,NA,13,"prose","Note in the diagrams that the area in either tail of the normal distribution beyond 3σ from the mean μ is 0.135%. (This is what led to the existence of the firs | The truth of all this (if ""truth"" can mean anything in the midst of such fantasy) depends, of course, on the process obeying the normal curve—*right* out into t | > ""It would … be wrong to attach any particular figure to the probability that a statistical signal for detection of a special cause could be wrong, or that the",TRUE
"performance indicator",NA,NA,13,"prose","I talked to a member of a police force. They had been set a target on the proportion of 999 (emergency) calls for which their response time, i.e. time to be on  | While speaking with a headteacher some years ago, he mentioned his school's ""Grade C club"". Seeing my puzzled look, he was kind enough to tell me what it was. I | Targets, appraisals, pay for performance, league-tabling, and all the rest: one aspect common to them all is the use of ""performance indicators"". A target is se",TRUE
"self esteem",NA,NA,13,"prose","(3) Some that we shall consider later are pride of workmanship, indeed joy in work (see ), self-esteem, respect, reputation, willingness to cooperate, dignity,  | But instead, let's go more directly to the Points and Deadly Diseases. In Part D you will have seen strong emphasis on matters such as dignity, self-esteem, res | Nevertheless, it could well be possible to see strong links between just this one aspect of Part D (let alone all the rest of it) and the need to adopt all the ",TRUE
"today's Major",NA,NA,13,"prose","(If you cannot answer this question now, be sure that you will be able to do so before you finish working through today's Major Activity!) | You will find it helpful to make yourself quite familiar with Mack's account before you embark upon today's Major Activity. It is a pleasantly easy read, and th | *(Now please move on to page 18 to make a start on today's Major Activity.)*",TRUE
"today's Major Activity",NA,NA,13,"prose","(If you cannot answer this question now, be sure that you will be able to do so before you finish working through today's Major Activity!) | You will find it helpful to make yourself quite familiar with Mack's account before you embark upon today's Major Activity. It is a pleasantly easy read, and th | *(Now please move on to page 18 to make a start on today's Major Activity.)*",TRUE
"Un Knowing",NA,NA,13,"prose","So the All-Knowing, looking down at the system from on high, has full comprehension of it. But to the Un-Knowing, looking up at it from floor level, it is far t | Of the two personalities mentioned above, the Foreman is in the ""Un-Knowing"" state—although he does not appear to appreciate the fact! In the context of this ex | As you will have realised some time ago, no worker has much control over the results which he produces! Most would agree that he actually has none at all; other",TRUE
"Upper Control Limit",NA,NA,13,"prose","Before considering the details, it would be useful to take a look at part of the rather famous hand-drawn *X̄-R* chart of which we have already seen something a | The tables and notation being included here are extracts from the table of control-chart constants on page 46 of *EST*, my book of *Elementary Statistics Tables | > This recalls the occasion when a delegate came up to me with tears of gratitude after I had emphasised this point in the seminar. Her company had installed so",TRUE
"work standards",NA,NA,13,"prose","- Procurement of materials, volume planning, MRP systems - Rifle adjustment, golf swing - Adjustments made to inventories based on surge demand - If I want my k | Unfortunately, Quality Control Departments have taken the job of quality away from the people that can contribute most to quality—management, supervisors, manag | **Eliminate work standards that prescribe quotas for the workforce and numerical goals for people in management.** Substitute aids and helpful leadership in ord",TRUE
"Activity",NA,NA,12,"ui","./content/days/day-06/01-introduction.qmd | ./content/days/day-06/03-activity-6b.qmd | ./content/days/day-07/02-numerical-targets.qmd",TRUE
"baseline length",NA,NA,12,"prose","So let's now examine control charts produced by the two runs of the Funnel Experiment that were demonstrated in the Appendix. It will be useful to look at both  | I therefore wrote a program to generate a large number of series of data from a normal distribution having σ = 1, and in each case calculate *MR̄* ÷ 1.128. I ch | There was some brief discussion on Day 3 about the length of the baseline in Technical Aids 8 (page 17) and 9 (page 27). In practice, the choice of baseline len",TRUE
"British Deming",NA,NA,12,"prose","This article that Balaji Reddie has been very keen for me to show you (see his ""Contributions"" page 33) was the seventh in a series of eight short articles that | But a lot of other stuff that Deming had written did appeal to me, so I rather set aside that business about the two types of statistical studies and read about | ## The British Deming Association and later",TRUE
"browsing session",NA,NA,12,"prose","### Step 1: Browsing session | There will be time for you to read through the whole of the ""Four Preludes and a Coda"" today. Also I am sure it will then be well worth your while to read it ag | **Step 1: Browsing session**",TRUE
"Chain Reaction",NA,NA,12,"prose","5. Chain reaction from improvement of processes: | A left-to-right chain of five linked boxes showing Deming's Chain Reaction. **Improve processes and product** leads to **Costs decrease**, which leads to **Capt | An updated version of the Chain Reaction appears on *Out of the Crisis* page 3 (both editions). There the final three steps stay the same. The first step become",TRUE
"Deming Management",NA,NA,12,"prose","WALTON Mary, *The Deming Management Method*. Dodd, Mead & Co Inc (1986), Mercury, London (1989). | WALTON Mary, *Deming Management at Work*. Putnam NY (1990), Mercury, London (1991). | [^a]: The ""Epilogue"" on pages 241–244 of Mary Walton's book *The Deming Management Method* contains a much more substantial account of Dr Deming's presentation ",TRUE
"Deming story",NA,NA,12,"prose","First defined in context: Day 1, ""The Deming story"". | Although I hope you will find both this morning’s Overture and this afternoon’s “Deming story” to be mostly easy reading, there are times when you should be pre | In addition to this afternoon’s “Deming story”, there is a broader sense in which this course is designed in a “telling the story” mode. By and large (but not s",TRUE
"expected values",NA,NA,12,"prose","- Introduction - Part A: Using control charts on Funnel Experiment data — an extension of Major Activity 3–h 1. Introduction 2. Rules 1 and 2 of the Funnel *(** | However, the language and the notation of expected values is so common—pretty much universal—that we are stuck with it. So let's get on and use it. As you will  | ### Combining expected values",TRUE
"extrinsic motivation",NA,NA,12,"prose","- to understand something about how we *behave in organisations*—in particular, to know and understand the *interactions* between the *system* in which we are w | But instead, let's go more directly to the Points and Deadly Diseases. In Part D you will have seen strong emphasis on matters such as dignity, self-esteem, res | The most damaging effect of extrinsic motivation is that it so often kills off that priceless intrinsic motivation with which we were born. We train children fr",TRUE
"Henry Neave",NA,NA,12,"prose","Well, he never answered my question. Some five years later, a certain Henry Neave (who had by then taken me under his tutelage via some serious correspondence)  | The 12 Days to Deming Active Learning Course was created by Dr Henry Neave and first launched in 2020. The course has been adapted for the web by me, Lee Durbin | Dr Henry Neave created 12 Days to Deming to take you on a journey to deeply understand what Dr W. Edwards Deming (1900–1993) taught.",TRUE
"Lower Control Limit",NA,NA,12,"prose","What do we see? All the data are contained between the Lower and Upper Control Limits (LCL and UCL). Even Ernie’s 3, just after the forthcoming performance appr | Again let's look first at the short control charts of the two simulations. The second one does not appear to have anything much to tell us, but I suggest the fi | !Second long Rule 2 control chart: a less pronounced but still noticeably tight pattern — none of the 50 values come close to either the upper or lower control ",TRUE
"Mathematical Statistics",NA,NA,12,"prose","For a long while I couldn't understand *why* this method was in common use! Sure, the standard deviation is *some* kind of way of producing something like an av | The answer to the first pair of questions is that, quite simply, despite being easier and quicker for you and me to calculate, the MAD turns out to be very awkw | In Mathematical Statistics you will find loads of logical progressions such as",TRUE
"Organisation Viewed",NA,NA,12,"prose","The two diagrams shown on the next page, or close variants of them, will be seen again, particularly on Days 9 and 4 respectively. Their importance is indicated | It is worth recalling that the famous 1950 flow diagram: ""Organisation Viewed as a System"" includes both the organisation's suppliers and its customers—they are | I would describe what I have included in this morning's material as just sketching a background, rather like an artist's very broad brush-strokes at the earlies",TRUE
"performance indicators",NA,NA,12,"prose","I believe that the large majority do indeed want to do a good job. But mostly they find that “quality assurance” hinders rather than helps. Yes, it can introduc | ## DAY 7: TARGETS, APPRAISALS, PERFORMANCE INDICATORS, QUOTAS, SPECIFICATIONS, PAY FOR PERFORMANCE, FINANCIAL INCENTIVES, LEAGUE TABLES AND OTHER OBSTACLES | Today's study is, in essence, structured in four parts. The work just described on conformance to specifications is the third of those four parts, and the Major",TRUE
"Peter Scholtes",NA,NA,12,"prose","I like very much the representation of Dr Deming’s shown alongside, constructed by one of my many American friends, the late, great Peter Scholtes. The words di | On *DemDim* page 32, quoting from that great paper by Peter Scholtes and Heero Hacquebord, we saw: | Carl and I discussed salary pay vs commission. I was beginning to think the unthinkable. We already had what *Team Handbook's* author Peter Scholtes describes a",TRUE
"stable process",NA,NA,12,"prose","As you know, **Rule 1** simply produces the unadulterated data coming from the underlying process of throwing the dice or, in Dr Nelson's original version of th | **Rule 2** is yet another matter. Unusually, this overcompensation problem is often quite difficult to recognise by comparing run charts alone. There is some te | As you'll recall, in Major Activity 3–h you summarised your data from Rules 1 and 2 of the Funnel on histograms and your data from Rules 3 and 4 on run charts. ",TRUE
"Statistical Thinking",NA,NA,12,"prose","Unfortunately, Quality Control Departments have taken the job of quality away from the people that can contribute most to quality—management, supervisors, manag | - Prelude A: Understanding a System - Prelude B: Understanding Statistical Thinking - Prelude C: Understanding Learning - Prelude D: Understanding People - Coda | Long ago in your *12 Days to Deming* course you became familiar with the importance of a system or parts of a system or processes performing ""within limits""—it ",TRUE
"without theory",NA,NA,12,"prose","- “Illusion of knowledge” comes from how we are taught, both formally and informally. And, sometimes, the more impressive the teacher, the more dangerous he is! | At the end of Prelude B we introduced some thoughts about the word ""theory"". Dr Deming emphasised that all theory leads to knowledge, indeed that no knowledge i | Theory is the ground upon which knowledge and practice are founded. There can never be any knowledge or learning without theory. The children are using theory e",TRUE
"compensation device",NA,NA,11,"prose","Then recall the simple example on . I observed that changing the *average* of my process there would be very easy. And, in my experience, it is indeed very ofte | Input shafts for a transmission were turned in a machine equipped with an expensive automatic compensation device. If the diameter of a shaft was too large, the | A histogram of 50 shaft diameters made *with* the automatic compensation device switched on. The distribution is broad and reaches outside the specification lim",TRUE
"data points",NA,NA,11,"prose","Rule 3's behaviour is clearly catastrophic—though did you suspect that such would be the case when (as recalled on the previous page) we may have initially rega | > In the case-study that I retold in *ST*, Don Wheeler did once use a baseline of length 4—but that was when there were only four data-points before the process | Drawing a run chart is straightforward. Of course, with a very large number of data-points such as were used for the run chart alongside, it would also be very ",TRUE
"Deming Transformation",NA,NA,11,"prose","^a^ (page 10) This quotation from the Deming A5 Booklet W2 (formally BDA Booklet W2) has been reproduced with the approval of the Deming Transformation Forum. | BDA BOOKLETS (now known as the Deming A5 Booklets and obtainable from the UK Deming Transformation Forum—see the ""Internet contacts"" section). | *The Deming Library*. Films Inc, Chicago. (Contact WEDI or the UK Deming Transformation Forum.)",TRUE
"improve quality",NA,NA,11,"prose","Obsession With Quality implies having the time to learn how to genuinely improve quality in the specific organisation and environment rather than e.g. just chan | Too often this is the story. The management of a company, seized with a desire to improve quality and productivity, knowing not how to go about it, having not g | A common disease that afflicts management and government administration the world over is the impression that ""Our problems are different"". They are different, ",TRUE
"improving quality",NA,NA,11,"prose","At the time of first hearing of ""six-sigma"" quality, one of my frequent battles had been (and continued to be) that of getting people to think seriously of impr | - Awareness of the distinction between common and special causes of variation and of how to interpret control charts; - Learning how to ask the right questions; | A left-to-right chain of five linked boxes showing Deming's Chain Reaction. **Improve processes and product** leads to **Costs decrease**, which leads to **Capt",TRUE
"Japanese Control Chart",NA,NA,11,"prose","During Day 3 you were introduced to the ancient but valuable study by Don Wheeler of ""A Japanese Control Chart"": it is examined in some detail in Part B of the  | *A Japanese Control Chart*. SPC Press Inc (1990). | Before considering the details, it would be useful to take a look at part of the rather famous hand-drawn *X̄-R* chart of which we have already seen something a",TRUE
"league tables",NA,NA,11,"prose","The Government judges by conformance to specifications. Think of the various Charters, league tables, etc, etc, … . A train meets the specification if it is no  | Much of both management and government strategy seems based on driving fear *in* rather than *out*. Certainly, for many years, British governments have made exc | ## DAY 7: TARGETS, APPRAISALS, PERFORMANCE INDICATORS, QUOTAS, SPECIFICATIONS, PAY FOR PERFORMANCE, FINANCIAL INCENTIVES, LEAGUE TABLES AND OTHER OBSTACLES",TRUE
"Old Climate",NA,NA,11,"prose","*So ends our concentration on the ""Old Climate"".* | As described near the beginning of the course, this overall structure largely reflects the way that the four-day seminars developed during the second half of th | ""Deming '88"" was not aimed at newcomers. Instead, its purpose was to introduce the ""New Climate"" to those who were already familiar with Deming's work as portra",TRUE
"original version",NA,NA,11,"prose","So, returning to our version of the Funnel Experiment, if tampering doesn't do any good (to put it mildly), how might we really ""improve the process"", i.e. redu | As you know, **Rule 1** simply produces the unadulterated data coming from the underlying process of throwing the dice or, in Dr Nelson's original version of th | In case that might be possible, let me tell you what I did in my seminars. As you will remember, Dr Nelson's original version of the experiment is rather tricky",TRUE
"process behaviour",NA,NA,11,"prose","In the “Springboard” article just mentioned on , as indeed in much of my other writing, I have largely followed the guidance of Dr Donald J Wheeler by using som | In extract from *EST* on , I referred to the control chart (process behaviour chart) as being “a remarkable statistical technique which, to all intents and purp | > ""Points outside the limits are noted on September 25 and 26, 1980. Having noted that exceptional variation was present, they looked for the Assignable *[Speci",TRUE
"random variation",NA,NA,11,"prose","Here is every reaction you gave—to pure, random variation. Read them back and let the absurdity sink in. | So now we have yet more of the profound messages which this ""stupidly simple"" experiment communicates. The emotions raised and havoc wreaked by treating common- | 1. Treating a fault, complaint, mistake, accident as if it came from a special cause when in fact there was nothing special at all, i.e. it came from the system",TRUE
"senior management",NA,NA,11,"prose","At this time, as we have moved into the second half of the course, I think I can anticipate what some students may be beginning to think. You are learning about | ""Illustration of selfish competition *versus* cooperation between departments. *Harm comes from internal competition and conflict, and from the fear that is the | Having carried out this exercise, you may already be thinking of ways it can be improved. That's fine: even with the increased choice of ""grades"", this was stil",TRUE
"stable system",NA,NA,11,"prose","One of the many needs for understanding the Red Beads process as a stable system is that, were this a real production process, such understanding would enable s | However, *all* we see in the main material of this course that is related to the subject of Statistics is what I like to summarise in just two words: “understan | In the context of the Funnel Experiment, what’s missing is the understanding of what Deming meant by a “stable system”. The reason I want you to try out the Fun",TRUE
"standard deviations",NA,NA,11,"prose","As we would have hoped, the Central Lines and the control limits are quite similar in the two simulations—although, of course, they're not in exactly the same p | Actually, the good news is that, for the purpose of constructing and using control charts for a-few-at-a-time data, i.e. using *subgroups* rather than one-at-a- | However, as mentioned earlier, the theory underlying where we place the control limits relates to standard deviations rather than to any other type of measure o",TRUE
"unbiased estimator",NA,NA,11,"prose","it's so that . As we saw on page 65, an estimator whose expected value is equal to the thing that it is trying to estimate is known as an *unbiased estimator*.  | However, to conclude here, there was yet another example of the use of an unbiased estimator in Part B of these Optional Extras: see page 20. It was adjustment  | Secondly, the fact that is an unbiased estimator of does *not* imply that is an unbiased estimator of . Unfortunate as it may be, the property of unbiasedness d",TRUE
"Balaji Reddie",NA,NA,10,"prose","*(BY REQUEST OF BALAJI REDDIE …)* | This article that Balaji Reddie has been very keen for me to show you (see his ""Contributions"" page 33) was the seventh in a series of eight short articles that | *(Return to Contributions from Balaji Reddie page 33.)*",TRUE
"BDA Booklet",NA,NA,10,"prose","I’ll prepare the ground by quoting *verbatim* from a magnificent presentation that Deming gave to an audience at the Palace of Versailles, France in 1989, trans | Many years ago the late Dr Myron Tribus, a respected consultant and speaker, took around with him some randomly-generated data, displayed in a format somewhat s | ^a^ (page 10) This quotation from the Deming A5 Booklet W2 (formally BDA Booklet W2) has been reproduced with the approval of the Deming Transformation Forum.",TRUE
"blood pressure",NA,NA,10,"prose","Apart from the feature of possibly wandering off to relatively enormous distances from wherever it starts, there is another aspect of Rule 4 which is often seen | Many years ago, in the early 1970s, if people were diagnosed with high blood pressure, some research showed that this was often related to the blood containing  | However, a few months later, these same people started complaining of low energy levels and low resistance to diseases. The research laboratories went into over",TRUE
"British Deming Association",NA,NA,10,"prose","This article that Balaji Reddie has been very keen for me to show you (see his ""Contributions"" page 33) was the seventh in a series of eight short articles that | But a lot of other stuff that Deming had written did appeal to me, so I rather set aside that business about the two types of statistical studies and read about | ## The British Deming Association and later",TRUE
