"term_en","fr_rendering","source","frequency","occurrence_types","contexts","decision_needed","approved_fr","decision","reviewer_notes"
"data points",,,11,"prose","Rule 3's behaviour is clearly catastrophic—though did you suspect that such would be the case when (as recalled on the previous page) we may have initially rega | > In the case-study that I retold in *ST*, Don Wheeler did once use a baseline of length 4—but that was when there were only four data-points before the process | Drawing a run chart is straightforward. Of course, with a very large number of data-points such as were used for the run chart alongside, it would also be very ",TRUE,,,
"Deming taught",,,11,"prose","He was making the point just mentioned: he had been competing *against* instead of competing *with* and thus was losing out. When he reversed his thinking, ever | So the Japanese were already well-steeped in what Deming taught long before these practices came into existence, and thus they were able to develop the concepts | Children are taught the importance of *understanding* a subject. Teachers are taught how to help a student *love* a subject. There are video cameras in every cl",TRUE,,,
"Deming Transformation",,,11,"prose","^a^ (page 10) This quotation from the Deming A5 Booklet W2 (formally BDA Booklet W2) has been reproduced with the approval of the Deming Transformation Forum. | BDA BOOKLETS (now known as the Deming A5 Booklets and obtainable from the UK Deming Transformation Forum—see the ""Internet contacts"" section). | *The Deming Library*. Films Inc, Chicago. (Contact WEDI or the UK Deming Transformation Forum.)",TRUE,,,
"different ways",,,11,"prose","So how do we create theory? How do we start? We have seen some different ways. First, the young boy observed the scooter starting and wondered: ""What makes it s | For a start, a particularly important issue which arose in Prelude C is that we are all born with the natural desire to learn. Dr Deming most certainly subscrib | But what about the probability of there being exactly *one* six out of three? Here it's easier to think of one die being thrown three times. There are three dif",TRUE,,,
"during Day",,,11,"prose","**Before Day 6.** For some extra pages of printing for your convenience during Day 6’s Major Activity, etc: see . On this page there is also a reminder to prepa | During Day 3 you were introduced to the ancient but valuable study by Don Wheeler of ""A Japanese Control Chart"": it is examined in some detail in Part B of the  | [""A better description of the world is the Taguchi loss function""] said Deming on *Out of the Crisis* page 120 *[141]*. What's that when it's at home?! Basicall",TRUE,,,
"each day",,,11,"prose","On the other hand, probably all the figures reported at monthly management meetings are from what I call ""man-made"" processes. Obviously, they are reported at t | > ""As the Ford group was touring the Tokai Rika plant, they observed eight production workers 'engaged in active discussion' around this Average and Range Chart | I’ll briefly describe the style of the four-day seminars for you. Basically, except for the breaks, Dr Deming spoke from 9.00 to 4.00 each day (except for finis",TRUE,,,
"each time",,,11,"prose","Another great value of Don’s work is that, whereas it used to be the case that control charts were generally considered to require small *samples* of data to be | > ""Another great value of Don *[Wheeler]*'s books is that, whereas it used to be the case that control charts were generally considered to require small *sample | With subgrouped data it is usual to construct not just one but *two* control charts, one for the subgroup *means* (the term introduced in the previous section f",TRUE,,,
"early stage",,,11,"prose","So let's now examine control charts produced by the two runs of the Funnel Experiment that were demonstrated in the Appendix. It will be useful to look at both  | In this histogram it is fairly easy to see the combined influence of both the original exponential distribution and of an early stage of the Central Limit Theor | With our Shewhart/Deming background we are very likely to presume that the data being illustrated in a histogram come from some *process*: we regard the underst",TRUE,,,
"great deal",,,11,"prose","Secondly, the more general lesson to learn from the words ""the need for"" in Point 3 is as follows. Although it may be feasible to start work on adopting some of | I appreciate that, at this stage, the standard deviation σ of a probability distribution may not mean a great deal to you! But its importance will become more a | NB Throughout this course, exact quotations from Dr Deming are printed in blue in order to set them apart from my own writing. His own quotations are especially",TRUE,,,
"improve quality",,,11,"prose","Obsession With Quality implies having the time to learn how to genuinely improve quality in the specific organisation and environment rather than e.g. just chan | Too often this is the story. The management of a company, seized with a desire to improve quality and productivity, knowing not how to go about it, having not g | A common disease that afflicts management and government administration the world over is the impression that ""Our problems are different"". They are different, ",TRUE,,,
"interpreting control",,,11,"prose","If, either now or subsequently, you wish to obtain more substantial help and guidance on constructing and interpreting control charts than is included in my Spr | On Days 2 and 3 and during parts of both of the projects, the emphasis was on understanding variation and why that is useful, and the role it plays in the impro | I hope you will have found it helpful to gain that additional experience of constructing and interpreting control charts. However, to be fair, Funnel Experiment",TRUE,,,
"interpreting control charts",,,11,"prose","If, either now or subsequently, you wish to obtain more substantial help and guidance on constructing and interpreting control charts than is included in my Spr | On Days 2 and 3 and during parts of both of the projects, the emphasis was on understanding variation and why that is useful, and the role it plays in the impro | I hope you will have found it helpful to gain that additional experience of constructing and interpreting control charts. However, to be fair, Funnel Experiment",TRUE,,,
"Japanese Control",,,11,"prose","During Day 3 you were introduced to the ancient but valuable study by Don Wheeler of ""A Japanese Control Chart"": it is examined in some detail in Part B of the  | *A Japanese Control Chart*. SPC Press Inc (1990). | Before considering the details, it would be useful to take a look at part of the rather famous hand-drawn *X̄-R* chart of which we have already seen something a",TRUE,,,
"Japanese Control Chart",,,11,"prose","During Day 3 you were introduced to the ancient but valuable study by Don Wheeler of ""A Japanese Control Chart"": it is examined in some detail in Part B of the  | *A Japanese Control Chart*. SPC Press Inc (1990). | Before considering the details, it would be useful to take a look at part of the rather famous hand-drawn *X̄-R* chart of which we have already seen something a",TRUE,,,
"league tables",,,11,"prose","The Government judges by conformance to specifications. Think of the various Charters, league tables, etc, etc, … . A train meets the specification if it is no  | Much of both management and government strategy seems based on driving fear *in* rather than *out*. Certainly, for many years, British governments have made exc | ## DAY 7: TARGETS, APPRAISALS, PERFORMANCE INDICATORS, QUOTAS, SPECIFICATIONS, PAY FOR PERFORMANCE, FINANCIAL INCENTIVES, LEAGUE TABLES AND OTHER OBSTACLES",TRUE,,,
"my book",,,11,"prose","The tables and notation being included here are extracts from the table of control-chart constants on page 46 of *EST*, my book of *Elementary Statistics Tables | As you know by now, I have always been quite keen on using computer simulation studies when faced with problems that are difficult or impossible to solve just b | Also in America, SPC Press Inc ( ), who published my book *The Deming Dimension* in 1990 (see pages 12–13 in the Welcome section of file A. PLEASE START HERE), ",TRUE,,,
"my experience",,,11,"prose","Some people make good use of computers. Few people are aware, however, of the negative input of computers. Time and time again, in my experience, when I ask for | Then recall the simple example on . I observed that changing the *average* of my process there would be very easy. And, in my experience, it is indeed very ofte | But even the conventional statistician will probably not be familiar with some or all of what I shall now introduce—so you're on a level playing-field for the t",TRUE,,,
"Old Climate",,,11,"prose","*So ends our concentration on the ""Old Climate"".* | As described near the beginning of the course, this overall structure largely reflects the way that the four-day seminars developed during the second half of th | ""Deming '88"" was not aimed at newcomers. Instead, its purpose was to introduce the ""New Climate"" to those who were already familiar with Deming's work as portra",TRUE,,,
"original version",,,11,"prose","So, returning to our version of the Funnel Experiment, if tampering doesn't do any good (to put it mildly), how might we really ""improve the process"", i.e. redu | As you know, **Rule 1** simply produces the unadulterated data coming from the underlying process of throwing the dice or, in Dr Nelson's original version of th | In case that might be possible, let me tell you what I did in my seminars. As you will remember, Dr Nelson's original version of the experiment is rather tricky",TRUE,,,
"process behaviour",,,11,"prose","In the “Springboard” article just mentioned on , as indeed in much of my other writing, I have largely followed the guidance of Dr Donald J Wheeler by using som | In extract from *EST* on , I referred to the control chart (process behaviour chart) as being “a remarkable statistical technique which, to all intents and purp | > ""Points outside the limits are noted on September 25 and 26, 1980. Having noted that exceptional variation was present, they looked for the Assignable *[Speci",TRUE,,,
"random variation",,,11,"prose","Here is every reaction you gave—to pure, random variation. Read them back and let the absurdity sink in. | So now we have yet more of the profound messages which this ""stupidly simple"" experiment communicates. The emotions raised and havoc wreaked by treating common- | 1. Treating a fault, complaint, mistake, accident as if it came from a special cause when in fact there was nothing special at all, i.e. it came from the system",TRUE,,,
"same time",,,11,"prose","Only recently, the entire management of a large manufacturing concern supposed, by their own declaration, that if all 2,700 operations in the plant were carried | Rather than dangling that carrot in front of a child (""If you do that then I'll reward you like this""), were we instead to give them the privilege of enjoying t | Let me emphasise a few basics. By ""a-few-at-a-time"" data I am implying that we are now dealing with what were referred to above as ""samples"" rather than just si",TRUE,,,
"senior management",,,11,"prose","At this time, as we have moved into the second half of the course, I think I can anticipate what some students may be beginning to think. You are learning about | ""Illustration of selfish competition *versus* cooperation between departments. *Harm comes from internal competition and conflict, and from the fear that is the | Having carried out this exercise, you may already be thinking of ways it can be improved. That's fine: even with the increased choice of ""grades"", this was stil",TRUE,,,
"short term variation",,,11,"prose","There is now no zig-zags with Rule 4. Instead, Rule 4 usually just gently ""wanders around"" (mathematicians often refer to this as a ""random walk""). It may mostl | And Rule 4 is really dangerous. Remember its motivation is to reduce *short-term* variation—which it succeeds in doing. Thus often it really does appear to be e | The ""motivation"" for the various Rules is discussed in *DemDim* Chapter 5, so there is no need for me to say much about that here. In brief, recall that, as we'",TRUE,,,
"something else",,,11,"prose","Secondly, the more general lesson to learn from the words ""the need for"" in Point 3 is as follows. Although it may be feasible to start work on adopting some of | Let's try something else. What about if we let the process mean slide out by 1.5σ (where the normal distribution produces the famous ""3.4 parts per million"")? W | Before considering the details, it would be useful to take a look at part of the rather famous hand-drawn *X̄-R* chart of which we have already seen something a",TRUE,,,
"stable system",,,11,"prose","One of the many needs for understanding the Red Beads process as a stable system is that, were this a real production process, such understanding would enable s | However, *all* we see in the main material of this course that is related to the subject of Statistics is what I like to summarise in just two words: “understan | In the context of the Funnel Experiment, what’s missing is the understanding of what Deming meant by a “stable system”. The reason I want you to try out the Fun",TRUE,,,
"standard deviations",,,11,"prose","As we would have hoped, the Central Lines and the control limits are quite similar in the two simulations—although, of course, they're not in exactly the same p | Actually, the good news is that, for the purpose of constructing and using control charts for a-few-at-a-time data, i.e. using *subgroups* rather than one-at-a- | However, as mentioned earlier, the theory underlying where we place the control limits relates to standard deviations rather than to any other type of measure o",TRUE,,,
"such things",,,11,"prose","My acquaintance was, in fact, also now a member of staff in another part of the same university. This was around the time that British universities were first b | - A very long while ago, I used to teach control-charting the “conventional” way, i.e. trying to interpret control limits in terms of probabilities, saying that | Walter Shewhart referred to both types of fluctuations as ""variation"". By a process behaving ""normally"" we mean it has ""normal"" variation. (Incidentally, in cas",TRUE,,,
"tell us",,,11,"prose","We, of course, had never heard of it. He then went on to tell us how Motorola, the famous electronic component giant from the USA, had started a Quality initiat | Again let's look first at the short control charts of the two simulations. The second one does not appear to have anything much to tell us, but I suggest the fi | What do dictionaries tell us about those puzzling words? Actually, I discovered that neither dictionaries on the internet nor in print seem very helpful with th",TRUE,,,
"term variation",,,11,"prose","There is now no zig-zags with Rule 4. Instead, Rule 4 usually just gently ""wanders around"" (mathematicians often refer to this as a ""random walk""). It may mostl | And Rule 4 is really dangerous. Remember its motivation is to reduce *short-term* variation—which it succeeds in doing. Thus often it really does appear to be e | The ""motivation"" for the various Rules is discussed in *DemDim* Chapter 5, so there is no need for me to say much about that here. In brief, recall that, as we'",TRUE,,,
"anything else",,,10,"prose","In addition to the emphasis yet again on improvement of the system, think of the additional variation that is caused if this Point is *not* put into effect. The | And this is all from two distributions which *look* virtually the same where we can see them and where, in practice, we could *never* tell apart. And we haven't | There are also lots of circumstances which will lead to positively autocorrelated data. Financial data are a good case in point. Stock market indices, inflation",TRUE,,,
"Balaji Reddie",,,10,"prose","*(BY REQUEST OF BALAJI REDDIE …)* | This article that Balaji Reddie has been very keen for me to show you (see his ""Contributions"" page 33) was the seventh in a series of eight short articles that | *(Return to Contributions from Balaji Reddie page 33.)*",TRUE,,,
"BDA Booklet",,,10,"prose","I’ll prepare the ground by quoting *verbatim* from a magnificent presentation that Deming gave to an audience at the Palace of Versailles, France in 1989, trans | Many years ago the late Dr Myron Tribus, a respected consultant and speaker, took around with him some randomly-generated data, displayed in a format somewhat s | ^a^ (page 10) This quotation from the Deming A5 Booklet W2 (formally BDA Booklet W2) has been reproduced with the approval of the Deming Transformation Forum.",TRUE,,,
"binomial distributions",,,10,"prose","A more organised way of dealing with *all* binomial distributions is presented in the Technical Section on pages 85–89. | Let's start by revisiting the development of the two illustrations on pages 37–42 in Part D of (a) tossing two coins and counting the number of Heads and of (b) | However, only two very simple binomial distributions were introduced in Part D: those involving the count of Heads when two coins are tossed and then the number",TRUE,,,
"blood pressure",,,10,"prose","Apart from the feature of possibly wandering off to relatively enormous distances from wherever it starts, there is another aspect of Rule 4 which is often seen | Many years ago, in the early 1970s, if people were diagnosed with high blood pressure, some research showed that this was often related to the blood containing  | However, a few months later, these same people started complaining of low energy levels and low resistance to diseases. The research laboratories went into over",TRUE,,,
"British Deming Association",,,10,"prose","This article that Balaji Reddie has been very keen for me to show you (see his ""Contributions"" page 33) was the seventh in a series of eight short articles that | But a lot of other stuff that Deming had written did appeal to me, so I rather set aside that business about the two types of statistical studies and read about | ## The British Deming Association and later",TRUE,,,
"browse through",,,10,"prose","So please just pick and choose what, if anything, you read here in these Optional Extras. Or just browse through them and see if anything catches your eye. Mayb | **Stats-level 2**: As Stats-level 1 but also browse through the Springboard article when you feel like it and take time to go through it more thoroughly after D | I hope therefore that you will find pages 19–34 interesting to browse through now (so that you get some idea of what's there) but, more importantly, that they w",TRUE,,,
"Chief Executive",,,10,"prose","In the 1970s, a medium-sized American company, the Nashua Corporation, was an agent for copying machines made by Ricoh, the well-known Japanese manufacturer. In | Let me emphasise even further Deming’s concentration on the importance of control charts. He was clear that it is generally desirable for *everyone* in an organ | *B J:* The answer is absolutely yes. The question is: how widely? We know, for example, from the Francis enquiry into Mid-Staffordshire *(see pages 23--24)*, th",TRUE,,,
"competing against",,,10,"prose","Indeed, ranking and rating are not just senseless—they are harmful. Reflecting the question posed on page 1, why should people [""work together""] (for the advant | When Dr Deming was speaking to Japanese industrialists in the early 1950s, he warned them that they would be in danger of destroying each other if they focused  | ## Competing against or competing with?",TRUE,,,
"Crisis pages Appendix",,,10,"prose","**1. [Hope for instant pudding.] ** (*Out of the Crisis* pages 107–108[126–127]; Appendix page 32.) The ever-lasting search for the ""quick fix""! The term ""insta | **3. [Search for examples.] ** (*Out of the Crisis* pages 109–110[128–128]; Appendix pages 32–33.) A large topic, the subject of *DemDim* Chapter 16. Also see P | **5. [Obsolescence in Schools [i.e. Schools of Business].] ** (*Out of the Crisis* pages 110–111[130–131]; Appendix page 33.) On *Out of the Crisis* page 110[13",TRUE,,,
"Deming Association",,,10,"prose","This article that Balaji Reddie has been very keen for me to show you (see his ""Contributions"" page 33) was the seventh in a series of eight short articles that | But a lot of other stuff that Deming had written did appeal to me, so I rather set aside that business about the two types of statistical studies and read about | ## The British Deming Association and later",TRUE,,,
"Deming Institute",,,10,"prose","WEDI (The W Edwards Deming Institute) (USA): | After Japan faced the repeated wrath of the tsunamis and earthquakes in 2011, they managed to resurrect themselves remarkably quickly. A note was sent from the  | Worldwide, the W Edwards Deming Institute (WEDI) in America is the obvious initial source. The Institute was founded by Dr Deming just before his death in 1993 ",TRUE,,,
"Deming's own words",,,10,"prose","My treatment of the 14 Points in those days was rather along the lines of what you can read on *DemDim* pages 39–48. I simply took them one at a time, giving a  | On each left-hand page I shall begin by stating the particular Point using the version in *DemDim* Chapter 3. As mentioned early today, these statements are all | An obvious trouble then is that it is the *number* which becomes the aim—as opposed to (a) *quality* being the aim and (b) the number (amongst many others) bein",TRUE,,,
"distance between",,,10,"prose","Spot the difference! Yes, we have now improved the process, i.e. reduced σ, sufficiently enough for the distance between the Central Line and either Specificati | If you have a control chart then you can immediately compute a value for this expression. You will (directly or indirectly) have used a value of σ to find the c | But, with our knowledge of what Rule 2 is, isn't that precisely what we would expect? Rule 2's compensation mechanism virtually ensures that particularly high v",TRUE,,,
"Dr Walter",,,10,"prose","You will recall that this topic of Statistical Thinking was born in the 1920s due to the brilliant insights of Dr Walter Shewhart. He made a discovery about pro | Dr Walter Shewhart's writing was often not easy to understand—as Dr Deming readily agreed! But Deming saw a purpose in Shewhart's style of writing—it was to hel | For example, the ""conventional"" student has been taught that both the theory and ""validity"" of control charts depend upon traditional Mathematical Statistical f",TRUE,,,
"enumerative studies",,,10,"prose","But even the conventional statistician will probably not be familiar with some or all of what I shall now introduce—so you're on a level playing-field for the t | Now, at that time, I had already been a Lecturer in Statistics in the University of Nottingham's Department of Mathematics for over 15 years. So I suppose I had | How about a brief explanation of ""enumerative studies"" in my own words? As we shall see later, an introductory course on conventional Statistics often begins by",TRUE,,,
"etc etc",,,10,"prose","And there’s the difficulty. What kind of “terms and conditions” could possibly be specified that would apply in practice to data from processes of all the kinds | The Government judges by conformance to specifications. Think of the various Charters, league tables, etc, etc, … . A train meets the specification if it is no  | Your body temperature is an example of what I call a ""natural"" process. Its optimum value is said to be 98.4°F or 98.6°F, depending on the country in which you ",TRUE,,,
"false alarms",,,10,"prose","Firstly I'll look at the possibility of ""false alarms"", i.e. signals that a special cause exists when in fact the process has remained stable. False alarms can  | ### (A) How often will false alarms occur when the control chart is being used ""live""? | With the assumptions made in the simulation study, and with the variety of baseline lengths as shown, here are the percentages of false alarms (i.e. signals tha",TRUE,,,
"far too",,,10,"prose","Again let's look first at the short control charts of the two simulations. The second one does not appear to have anything much to tell us, but I suggest the fi | * Dr Deming’s focus was on the longer rather than the shorter term. If you are looking for the next short-term quick fix, this is the wrong place. Besides which | So the All-Knowing, looking down at the system from on high, has full comprehension of it. But to the Un-Knowing, looking up at it from floor level, it is far t",TRUE,,,
"find yourself",,,10,"prose","As I said back on page 29 (which in turn recalled something on Day 1 page 6), delegates having some qualification in Statistics could be something of a problem  | This Overture performs a similar function. It does indeed expose you to an initial ""feel"" of what is to follow, of both the nature and some of the content of th | Now, that was quite a mouthful. I know it—I warned you! But, a word of caution. I’m not arguing for the appropriateness of all of these things in *isolation.* (",TRUE,,,
"First defined",,,10,"prose","A short, alphabetical reference for the course's most-recurring specialised terms. Definitions are taken verbatim from Neave's prose (or from a Deming quote tha | First defined in context: Day 1, ""The Deming story"". | First defined in context: Day 11, ""Theory of Knowledge — Operational Definitions"".",TRUE,,,
"first heard",,,10,"prose","But, since the links with the Joiner Triangle are not quite so all-embracing here as in the first two parts of the System of Profound Knowledge, I'll now make s | I was delighted when, several years ago, I first heard the phrase ""six-sigma quality"", made famous through the quality programme bearing that name at Motorola,  | Just one further example of poor understanding—although this one is not from Japan. In 1995 I embarked on a course in Management of Quality which was titled: ""P",TRUE,,,
"Ford example",,,10,"prose","First, let's compare the histograms for Rules 1 and 2. If you look back to the similar histograms in the Ford example, remember that the Ford people were initia | That should make clear the considerable reduction of variation produced by Rule 1 compared with Rule 2. If you look back to the histograms, matching what was se | Rule 2 is the case where, as we know both from the Ford example and from your own work in the Major Activity, the situation is undesirable compared with Rule 1,",TRUE,,,
"Four Preludes",,,10,"prose","**FOUR PRELUDES AND A CODA** | As you know, these four Preludes respectively introduce some of the concepts in the four parts of Dr Deming's System of Profound Knowledge which you will study  | There were around five of Balaji's short articles relating to each of the four parts, plus a summing-up as the final article of the set. We have called the revi",TRUE,,,
"gap between",,,10,"prose","I'll move straight on to **Rule 4** since that's the one you have dealt with most recently. The clue as to what happens to the control limits here follows direc | Regarding the control limits, there are two influences with Rule 2 that will widen the gap between them. Firstly, there is the approximately 40% increase in var | Whereas Rule 3's short control charts did not give much warning of the horrors to come, Rule 4's short charts immediately show conclusive evidence of severe pro",TRUE,,,
"General Motors",,,10,"prose","During one of his seminars at General Motors in Michigan, Deming came out with such a ""startling"" statement about pay. It was: | In *The Deming of America* video, he repeated those exact words. This certainly startled Priscilla Petty, his interviewer! Deming then recalled that occasion at | > [""Sure you have to have enough to live on, and to live right. Beyond that, pay is not a motivator. Remember Norb Keller's statement which I think is famous. O",TRUE,,,
"gives us",,,10,"prose","The next step is to test our theory. How? We create different situations where we vary the factors and see how they behave with each other. If the effect in whi | That link between the picture of the probabilities and the histograms as the amount of sampling increases has its parallel with the sample statistics. Let's con | That's better—much easier arithmetic! It simply boils down to . So then taking the square root gives us , which is equal to 0.707.",TRUE,,,
"horizontal axis",,,10,"prose","But beware! If you read Part E of the Optional Extras you will find me referring on page 60 to the famous British statistician, the late Professor George Box, s | In my introduction, I've already told you one of the extraordinary things about the normal distribution: i.e. that, although the curve gives the visual *impress | My great friend Don Wheeler (from whom I've learned so much over the years) told me about a family of probability distributions that was studied by Irving W Bur",TRUE,,,
"I'd say",,,10,"prose","**Rule 2** is yet another matter. Unusually, this overcompensation problem is often quite difficult to recognise by comparing run charts alone. There is some te | What would have happened if Ravi *had* reported his collection of Rs. 20 lakhs? Chances are that his manager would have promptly revised his target to Rs. 21 la | And, as becomes very clear, in the first simulation the experiment this effect continues all the way through the complete control chart. Even in the second simu",TRUE,,,
"Indian man",,,10,"prose","Quite simply, the Quality Circle concept was created as one of many ways to promote cooperation and learning. Let me now take this a step further. I would like  | The course was of six months' duration. In the morning sessions the students had classroom interactions with the teachers. Then, in the afternoons, they worked  | On the following day this man was given a job of carrying out some soldering. All he had to do was to take a board with components on it and immerse it in a ves",TRUE,,,
"left tfrac",,,10,"prose","$$\begin \sigma^2 &= \left(0 - \tfrac \right)^2 \times \tfrac + \left(1 - \tfrac \right)^2 \times \tfrac + \left(2 - \tfrac \right)^2 \times \tfrac + \left(3 -  | $$\begin \mathrm [\bar ] &= \mathrm \!\left[\tfrac (X_1 + X_2 + \dots + X_n)\right] = \tfrac \mathrm [X_1 + X_2 + \dots + X_n] = \tfrac \bigl(\mathrm [X_1] + \m | $$\begin \mathrm \!\left[\tfrac \sum (X - \mu)^2\right] &= \tfrac \mathrm \!\left[\sum (X - \mu)^2\right] = \tfrac \mathrm \bigl\ \\ &= \tfrac \bigl(\mathrm [(X",TRUE,,,
"let us",,,10,"prose","But now let us return to the first paradox summarised on : the apparently strange matter of neither the all-important tool of the control chart nor its creator, | Let's consider a further example of interconnectedness. Take the case of a classroom in a college where a lecture is to be conducted. Some obvious components of | Because of their importance, let us learn something of the circumstances in which Shewhart’s great discoveries took place, as that will help us to understand mu",TRUE,,,
"Let's consider",,,10,"prose","If you are mathematically inclined, you might like to use the above criterion to verify the following alarming argument. Let's consider starting with the proces | Take the case of that beautiful but fearsome animal: a tiger. Besides procreation, let's consider three possibilities for its aim: | Let's consider a further example of interconnectedness. Take the case of a classroom in a college where a lecture is to be conducted. Some obvious components of",TRUE,,,
"little later",,,10,"prose","In connection with what is often referred to as the UK Government's ""hostile immigration environment"", Home Secretary Amber Rudd told the Home Affairs Select Co | Before proceeding to the final case, let's note something that will be important a little later. This is that, in the two cases so far considered, the calculati | As he explained it just a little later in his presentation:",TRUE,,,
"make things worse",,,10,"prose","We face many such instances in life where we simply react to what has just occurred—sometimes called a ""knee-jerk reaction""—whether at home or in our place of w | But what could be wrong with good intentions and best efforts? Nothing—*if* (and that’s a big “if”) they are guided by genuine understanding. But if they are no | > “ ... the harder they tried, the worse were the effects. … When anything bad occurred, they went to work on it to try to correct it. A noble aim. There was on",TRUE,,,
"Motor Company",,,10,"prose","Here is one more very famous Japanese invention, in this case originating in the Toyota Motor Company. Americans named it ""Just in Time"" because they did not un | When he went to work the following day, he told his trusted aides, Taichi Ohno and Shiego Shengo, what had happened. They were puzzled. ""What do you want us to  | Before considering the details, it would be useful to take a look at part of the rather famous hand-drawn *X̄-R* chart of which we have already seen something a",TRUE,,,
"my mind",,,10,"prose","- I changed my mind for two reasons. The first is that eventually I had two excellent and patient teachers: Dr Deming and Dr Don Wheeler. Secondly, I found in p | One genuinely fit and healthy athlete does come readily to my mind. That is the great Dara Singh, who always believed in being fit and healthy the natural way.  | You have seen several instances in the course where I've made what might have appeared to be derogatory comments about ""conventional"" or ""traditional"" Statistic",TRUE,,,
"new philosophy",,,10,"prose","## Point 2. The new philosophy | **Adopt the new philosophy. We are in a new economic age,** created in Japan. We can no longer live with commonly accepted levels of delays, mistakes, defective | This is a whole new philosophy. It's not just optional add-ons to what we are already doing; it's not the use of a few new tools. At the beginning of the course",TRUE,,,
"other parts",,,10,"prose","Every person, every part, everything has its importance in a system—else why is it there? Some parts may be able to do absolutely nothing on their own yet have  | This brings to light another attribute of a system: since every person or thing has its role to play in the system, how can it be justifiable to compare that pe | This fourth Deadly Disease needs some clarification in order to avoid misinterpretation. Dr Deming is not suggesting that one should necessarily be stuck in the",TRUE,,,
"other sources",,,10,"prose","Part D includes a fairly extensive introduction and discussion on the normal distribution. So effectively all that is left is (as promised on page 50) to introd | However, my personal favourite amongst the American videos is *The Deming of America*. This video, which was made for PBS (America’s Public Broadcasting Service | > At this early stage of the course, you probably do not have access to other sources. But if you do, or will be doing so before long, you may find plenty more ",TRUE,,,
"outside specifications",,,10,"prose","Now, if a process having ""six-sigma"" quality is properly centred, the relevant figure from the table is the final one, the 0.000000000987—except that there are  | So instead, the mathematical ""truth"" enthusiasts let the process mean (and thus the whole normal distribution) wander from its ideal central position. By how mu | I'll just quote a few figures. First, actually now having a ""six-sigma"" process *properly centred*. Recall that the normal distribution tells us that then there",TRUE,,,
"page references",,,10,"prose","I carried out some fairly important updates to *DemDim* in 1992, not long before *The New Economics* was first published, and I think there is little if any inc | NB New editions of *Out of the Crisis* (Second Edition) and *The New Economics* (Third Edition) were published in 2018, both now including contributions from re | In the Second Project on Days 10 and 11 I shall be introducing you to what I regard as some of Dr Deming’s very best writing—concise but containing a wealth of ",TRUE,,,
"people learn",,,10,"prose","For a start, a particularly important issue which arose in Prelude C is that we are all born with the natural desire to learn. Dr Deming most certainly subscrib | - Understanding that people are inherently good: they *want* to do a good job; - Understanding that different people learn differently and hence think different | Training budgets in many organisations are absurdly small. So how do people learn the skills necessary for their jobs? Notice Deming's emphasis in his second se",TRUE,,,
"per hour",,,10,"prose","Indeed, ranking and rating are not just senseless—they are harmful. Reflecting the question posed on page 1, why should people [""work together""] (for the advant | People's contributions to a system also need to be regulated. A favourite example of Dr Deming's was that of an orchestra with 140 players who are all there to  | Finally, let me bring together a few of the important illustrations we have described. First, the salesman who lied was in all probability selling more than cou",TRUE,,,
"Peter Scholtes's diagram",,,10,"prose","After writing so much on what can and does go wrong, let's return to the System of Profound Knowledge. In case you might find it helpful, I would like to give y | I liked it! Three succinctly-expressed major foundations of Dr Deming's work, and displayed in a simple diagrammatical form which also clearly broadcasts the me | Second, you have now seen three short introductions to the System of Profound Knowledge: Peter Scholtes's diagram, the introduction in *DemDim* Chapter 18, and ",TRUE,,,
"Quality Productivity",,,10,"prose","Yet again, the thrust of this Point is that the lack of quality, productivity, behaviour, performance—just about everything—comes from the system (common causes | The big gain is not the \$500 per year that the men saved. What is important is that these men could now take pride in the improvement. They felt important to t | > ""There are many reasons why US quality / productivity (they go hand in hand) have not kept ahead. A few of the major ones are: the educational system that tur",TRUE,,,
"quick look",,,10,"prose","So, in summary, unless you *really* want to limit yourself to Stats-level 00, do take at least a quick look at all of the main text (except possibly for the Tec | Now, also as previously promised, let's return to the illustrative example with which we started Day 2. So, if you need to, take a quick look back at the first  | - If you are studying this course in a small group rather than on your own, you may have time to take a quick look at the relevant chapter in Part 5 of *DemDim*",TRUE,,,
"random sampling",,,10,"prose","### Mechanical *vs* random sampling | The almost automatic presumption that the long-term proportion of red beads obtained in the experiment must equal the proportion of red beads in the container i | Random sampling can only properly be done by allocating a number to each bead and then selecting the beads according to genuine random numbers (or, more practic",TRUE,,,
"sales figures",,,10,"prose","For illustration, imagine we have just launched a new product on the market, and consider how its monthly sales figures might develop and how the management mig | To keep things easy, I'll present the supposed monthly sales figures as simple whole numbers. For example, we might be rounding to the nearest 1,000 sales so th | A run chart of monthly sales figures, with months 1 to 3 on the x-axis and sales values on the y-axis. The line goes up sharply from 13 in Month 1 to 19 in Mont",TRUE,,,
"Scholtes's diagram",,,10,"prose","After writing so much on what can and does go wrong, let's return to the System of Profound Knowledge. In case you might find it helpful, I would like to give y | I liked it! Three succinctly-expressed major foundations of Dr Deming's work, and displayed in a simple diagrammatical form which also clearly broadcasts the me | Second, you have now seen three short introductions to the System of Profound Knowledge: Peter Scholtes's diagram, the introduction in *DemDim* Chapter 18, and ",TRUE,,,
"simulation study",,,10,"prose","Having learned something about that, there was an obvious way to examine the claim that our data *have to* come from a normal distribution in order for the cont | Full details of this simulation study and the results it produced are provided in Section 4 (pages 68–70). | There's an obvious way to examine this (without raising the tricky matter of exact stability not being feasible!). And that is to modify the program so as to ge",TRUE,,,
